year month day hour precipitation[mm] temperature[degC]
0 1 32 14 0 17.52
0 1 32 15 0 17.9
0 1 32 16 0 18.1533333333333
0 1 32 17 0 14.85
0 1 32 18 0 10.7266666666667
0 1 32 19 0 7.83
0 1 32 20 0 7.42666666666667
0 1 32 21 0 6.89333333333333
0 1 32 22 0 6.35333333333333
0 1 32 23 0 5.81
0 1 33 0 0 4.84666666666667
0 1 33 1 0 4.29333333333333
0 1 33 2 0 3.45333333333333
0 1 33 3 0 3.59666666666667
0 1 33 4 0 3.45
0 1 33 5 0 2.74666666666667
0 1 33 6 0 2.89
0 1 33 7 0 2.60333333333333
0 1 33 8 0 2.74333333333333
0 1 33 9 0 5.38666666666667
0 1 33 10 0 9.94666666666667
0 1 33 11 0 12.2833333333333
0 1 33 12 0 13.7
0 1 33 13 0 15.8733333333333
0 1 33 14 0 15.87
0 1 33 15 0 15.4866666666667
0 1 33 16 0 13.4466666666667
0 1 33 17 0 12.5466666666667
0 1 33 18 0 11.51
0 1 33 19 0 10.34
0 1 33 20 0 9.81666666666667
0 1 33 21 0 9.42
0 1 33 22 0 9.29
0 1 33 23 0 9.16
0 1 34 0 0 8.76333333333333
0 1 34 1 0 8.89666666666667
0 1 34 2 0 8.49666666666667
0 1 34 3 0 8.63
0 1 34 4 0 9.03
0 1 34 5 0 9.03
0 1 34 6 0.245 8.89666666666667
0 1 34 7 1.47 9.03
0 1 34 8 1.715 8.76333333333333
0 1 34 9 0.49 8.63
0 1 34 10 0.49 9.16
0 1 34 11 0 9.94666666666667
0 1 34 12 0 11.9
0 1 34 13 0 13.3166666666667
0 1 34 14 0 17.1366666666667
0 1 34 15 0 18.5366666666667
0 1 34 16 0.245 21.5833333333333
0 1 34 17 0 20.95
0 1 34 18 0 15.87
0 1 34 19 0 13.5733333333333
0 1 34 20 0 14.7233333333333
0 1 34 21 0 14.0866666666667
0 1 34 22 0 12.8033333333333
0 1 34 23 0 12.8033333333333
0 1 35 0 0 11.8966666666667
0 1 35 1 0 9.68333333333334
0 1 35 2 0 9.94666666666667
0 1 35 3 0 8.63
0 1 35 4 0 8.09666666666667
0 1 35 5 0 8.09666666666667
0 1 35 6 0 8.23
0 1 35 7 0 8.09666666666667
0 1 35 8 0 8.09666666666667
0 1 35 9 0 10.9833333333333
0 1 35 10 0 15.87
0 1 35 11 0 18.28
0 1 35 12 0 20.57
0 1 35 13 0 21.7133333333333
0 1 35 14 0 21.8433333333333
0 1 35 15 0 20.8233333333333
0 1 35 16 0 21.0766666666667
0 1 35 17 0 20.3133333333333
0 1 35 18 0 16.8866666666667
0 1 35 19 0 14.9766666666667
